hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate,is_rv,planet_id
HD 13908,1,1,2,Radial Velocity,2013,Haute-Provence Observatory,Published Confirmed,0,<a refstr=MOUTOU_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A%26A...563A..22M/abstract target=ref> Moutou et al. 2014 </a>,931,17,-17,0,2.03,0.04,-0.04,0,,,,,,,,,1630.4,79.45,-79.45,0,5.13,0.25,-0.25,0,Msini,0.12,0.02,-0.02,0,,,,,,,,,0,<a refstr=MOUTOU_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A%26A...563A..22M/abstract target=ref> Moutou et al. 2014 </a>,F8 V,6255,66,-66,0,1.67,0.1,-0.1,0,1.29,0.04,-0.04,0,0.01,0.04,-0.04,0,[Fe/H],4.11,0.11,-0.11,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h18m14.62s,34.5609102,+65d35m39.08s,65.5941901,79.5515,0.2196,-0.2185,7.52,0.03,-0.03,6.21,0.021,-0.021,7.3845,0.000201,-0.000201,14-05-2014,2014-03,14-05-2014,1,HD 13908_931.0
Kepler-642,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,4.41745855,6.60E-06,-6.60E-06,0,0.1011,,,,2.9,1.3,-0.56,0,0.25872067,0.11597823,-0.04995985,0,,,,,0.432,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6570,133.26,-201.09,0,1.66,0.743,-0.321,0,1.4,0.229,-0.157,0,0.06,0.13,-0.138,0,[Fe/H],4.14,0.147,-0.247,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h35m20.29s,293.8345542,+42d37m29.81s,42.624948,781.582,8.592,-8.411,13.335,0.069,-0.069,12.095,0.02,-0.02,13.2945,0.000229,-0.000229,06-05-2016,2016-05,10-05-2016,0,Kepler-642_4.41745855
Kepler-84,1,1,5,Transit,2014,Kepler,Published Confirmed,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,44.552169,0.000812,-0.000812,0,0.25,,,0,2.2,0.43,-0.43,0,0.196,0.038,-0.038,0,,,,,0.432,,,,,,,,,,,,,,,,,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,6031,143,-143,0,1.169,0.219,-0.219,0,0.95,,,,,,,,,4.323,0.15,-0.15,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h53m00.48s,298.2520208,+40d29m45.90s,40.4960842,1023.9,,,14.92,0.092,-0.092,13.193,0.026,-0.026,14.7902,0.001577,-0.001577,14-05-2014,2014-03,14-05-2014,0,Kepler-84_44.552169
Kepler-1242,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,13.62798432,5.71E-05,-5.71E-05,0,0.1011,,,,2.26,0.13,-0.13,0,0.2016237,0.01159782,-0.01159782,0,,,,,0.432,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,4895,84.63,-57.56,0,0.74,0.029,-0.038,0,0.77,0.036,-0.039,0,-0.05,0.129,-0.169,0,[Fe/H],4.6,0.024,-0.036,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h58m25.49s,284.6062174,+41d11m46.84s,41.196344,687.615,14.039,-13.498,15.714,0.206,-0.206,13.343,0.03,-0.03,15.4984,0.000481,-0.000481,06-05-2016,2016-05,10-05-2016,0,Kepler-1242_13.62798432
Kepler-201,1,1,2,Transit,2014,Kepler,Published Confirmed,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,25.672083,7.50E-05,-7.50E-05,0,0.175,,,0,2.46,0.48,-0.48,0,0.219,0.043,-0.043,0,,,,,0.432,,,,,,,,,,,,,,,,,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,6065,117,-117,0,1.229,0.24,-0.24,0,0.95,,,,,,,,,4.294,0.15,-0.15,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h34m30.25s,293.626059,+41d16m22.08s,41.2728004,636.445,9.773,-9.488,12.991,0.114,-0.114,11.737,0.02,-0.02,12.9199,0.000288,-0.000288,14-05-2014,2014-03,14-05-2014,0,Kepler-201_25.672083
BD-14 3065 A,1,3,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=_SCARON_UBJAK_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240312311S/abstract target=ref>&Scaron;ubjak et al. 2024</a>,4.2889731,5.20E-06,-5.20E-06,0,0.0656,0.0026,-0.0026,0,21.59,1.05,-1.05,0,1.926,0.094,-0.094,0,3932,290,-280,0,12.37,0.92,-0.87,0,Mass,0.066,0.0098,-0.011,0,,,,,2001,31,-31,0,0,<a refstr=_SCARON_UBJAK_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240312311S/abstract target=ref>&Scaron;ubjak et al. 2024</a>,,6935,90,-90,0,2.35,0.08,-0.08,0,1.41,0.05,-0.05,0,-0.34,0.05,-0.05,0,[Fe/H],3.85,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h14m40.72s,153.6696689,-15d38m34.21s,-15.6428372,589.423,16.599,-15.729,11.1,0.013,-0.013,9.932,0.026,-0.026,10.91,0.001617,-0.001617,25-06-2024,2024-03,25-06-2024,0,BD-14 3065 A_4.2889731
Kepler-142,1,1,3,Transit,2014,Kepler,Published Confirmed,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,4.761702,5.00E-06,-5.00E-06,0,0.057,,,0,2.86,0.55,-0.55,0,0.255,0.049,-0.049,0,,,,,0.432,,,,,,,,,,,,,,,,,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5790,100,-100,0,1.269,0.245,-0.245,0,0.95,,,,,,,,,4.262,0.15,-0.15,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h40m28.56s,295.1190067,+48d28m52.91s,48.4813635,548.686,4.126,-4.067,13.277,0.08,-0.08,11.762,0.021,-0.021,13.197,0.000231,-0.000231,14-05-2014,2014-03,14-05-2014,0,Kepler-142_4.761702
Kepler-693,1,2,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,15.37563332,1.07E-05,-1.07E-05,0,0.1011,,,,10.18,0.5,-0.77,0,0.90819877,0.04460701,-0.0686948,0,,,,,0.432,,,,,,,,,,,,,,,,,1,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,4881,78.78,-77.41,0,0.72,0.035,-0.044,0,0.76,0.039,-0.051,0,-0.1,0.167,-0.181,0,[Fe/H],4.61,0.028,-0.037,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h53m00.85s,283.253527,+40d21m29.58s,40.3582155,1151.51,57.13,-52.06,16.7286,0.0459,-0.0459,14.178,0.071,-0.071,16.414,0.000619,-0.000619,06-05-2016,2016-05,10-05-2016,0,Kepler-693_15.37563332
Kepler-788,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,8.39846269,5.72E-05,-5.72E-05,0,0.1011,,,,2.55,0.9,-0.4,0,0.22749576,0.08029262,-0.03568561,0,,,,,0.432,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6159,129.54,-186.01,0,1.23,0.394,-0.173,0,1.16,0.13,-0.101,0,0.05,0.126,-0.155,0,[Fe/H],4.32,0.104,-0.194,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h20m00.10s,290.0004154,+38d32m23.48s,38.5398551,1775.8,99.915,-99.915,15.45,0.149,-0.149,13.873,0.049,-0.049,15.2595,0.000437,-0.000437,06-05-2016,2016-05,10-05-2016,0,Kepler-788_8.39846269
Kepler-1695,1,1,1,Transit,2020,Kepler,Published Confirmed,0,<a refstr=ARMSTRONG_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5327A/abstract target=ref>Armstrong et al. 2021</a>,4.7329,,,0,0.1011,,,,1.11948901,,,0,0.09987412,,,0,,,,,0.432,,,,,,,,,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5473.19,123.22,-123.22,0,0.987155,,,0,0.96,,,0,-0.0347,0.0131,-0.0131,0,[M/H],4.43157,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h34m28.63s,293.6193001,+46d24m48.25s,46.4134015,791.175,12.3105,-12.3105,14.762,0.092,-0.092,12.998,0.034,-0.034,14.6234,0.000281,-0.000281,08-09-2020,2021-07,03-09-2020,0,Kepler-1695_4.7329
Kepler-1468,1,1,3,Transit,2021,Kepler,Published Confirmed,0,<a refstr=VALIZADEGAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJ...926..120V/abstract target=ref>Valizadegan et al. 2022</a>,19.59059906,,,0,0.1079,,,,3.33187146,,,0,0.29725017,,,0,,,,,0.3,,,,,,,,,,,,,,,,,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,5794,78,-78,0,1.496,0.245,-0.299,0,1.072,0.112,-0.084,0,0.14,0.15,-0.15,0,[Fe/H],4.118,0.182,-0.098,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h34m04.76s,293.5198289,+41d16m38.52s,41.2773671,1899.24,89.82,-89.82,15.111,0.217,-0.217,13.458,0.042,-0.042,14.9515,0.000308,-0.000308,05-12-2021,2022-02,05-12-2021,0,Kepler-1468_19.59059906
Kepler-215,1,1,4,Transit,2014,Kepler,Published Confirmed,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,30.864423,9.20E-05,-9.20E-05,0,0.185,,,0,2.39,0.55,-0.55,0,0.213,0.049,-0.049,0,,,,,0.432,,,,,,,,,,,,,,,,,1,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5739,164,-164,0,1.027,0.236,-0.236,0,0.95,,,,,,,,,4.364,0.15,-0.15,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h39m53.65s,294.9735313,+45d12m49.27s,45.2136867,485.997,3.654,-3.654,13.678,0.126,-0.126,11.996,0.019,-0.019,13.5549,0.000249,-0.000249,14-05-2014,2014-03,14-05-2014,0,Kepler-215_30.864423
Kepler-1255,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,36.2919336,0.0003156,-0.0003156,0,0.1011,,,,2.32,0.64,-0.29,0,0.20697654,0.05709698,-0.02587207,0,,,,,0.432,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6018,134.73,-186.81,0,1.12,0.306,-0.137,0,1.08,0.097,-0.086,0,0.02,0.133,-0.161,0,[Fe/H],4.37,0.088,-0.179,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h40m57.42s,295.2392569,+42d43m35.34s,42.7264842,1617.07,88.88,-80.21,15.308,0.069,-0.069,13.692,0.045,-0.045,15.199,0.000423,-0.000423,06-05-2016,2016-05,10-05-2016,0,Kepler-1255_36.2919336
Kepler-1283,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,12.9460978,0.0002185,-0.0002185,0,0.1011,,,,1.91,0.79,-0.31,0,0.17039879,0.07047908,-0.02765635,0,,,,,0.432,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6175,183.18,-233.53,0,1.25,0.511,-0.198,0,1.16,0.178,-0.114,0,0.04,0.128,-0.159,0,[Fe/H],4.31,0.115,-0.242,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h41m50.96s,295.4623336,+40d46m36.96s,40.7769335,2921.99,304.47,-253.02,15.269,0.069,-0.069,13.567,0.04,-0.04,15.0697,0.000408,-0.000408,06-05-2016,2016-05,10-05-2016,0,Kepler-1283_12.9460978
HD 118203,1,1,2,Radial Velocity,2024,Multiple Observatories,Published Confirmed,0,<a refstr=ZHANG_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....168..295Z/abstract target=ref>Zhang et al. 2024</a>,5103,76,-77,0,6.28,0.1,-0.11,0,,,,,,,,,3747.196919,219.3016008,-200.2318964,0,11.79,0.69,-0.63,0,Mass,0.26,0.03,-0.02,0,,,,,,,,,0,<a refstr=ZHANG_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....168..295Z/abstract target=ref>Zhang et al. 2024</a>,,5742,93,-95,0,2.04,0.03,-0.03,0,1.27,0.028,-0.032,0,0.287,0.069,-0.111,0,[Fe/H],3.92,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h34m02.39s,203.509956,+53d43m41.48s,53.7281876,92.2589,0.2364,-0.2352,8.05,0.03,-0.03,6.543,0.023,-0.023,7.89255,0.00031,-0.00031,27-05-2025,2024-12,27-05-2025,1,HD 118203_5103.0
Kepler-433,1,1,1,Transit,2015,Kepler,Published Confirmed,0,<a refstr=ALMENARA_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...575A..71A/abstract target=ref>Almenara et al. 2015</a>,5.33408384,1.10E-06,-1.10E-06,0,0.0679,0.0027,-0.0027,0,16.25,1.79,-1.79,0,1.45,0.16,-0.16,0,896.24,165.26,-165.26,0,2.82,0.52,-0.52,0,Mass,0.119,0.079,-0.079,0,,,,,1776,87,-87,0,0,<a refstr=ALMENARA_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...575A..71A/abstract target=ref>Almenara et al. 2015</a>,,6360,140,-140,0,2.26,0.25,-0.25,0,1.46,0.17,-0.17,0,-0.01,0.2,-0.2,0,[Fe/H],3.892,0.056,-0.056,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h50m22.47s,297.5936232,+40d58m38.12s,40.9772546,1878.31,77.94,-72.07,14.717,0.137,-0.137,12.826,0.026,-0.026,14.4163,0.000291,-0.000291,14-01-2015,2015-03,14-01-2015,0,Kepler-433_5.33408384
HATS-67,1,1,1,Transit,2018,HATSouth,Published Confirmed,0,<a refstr=HARTMAN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...55H/abstract target=ref>Hartman et al. 2019</a>,1.6091788,4.00E-06,-4.00E-06,0,0.03032,0.00015,-0.00015,0,18.887165,0.526823,-0.526823,0,1.685,0.047,-0.047,0,460.8535,38.1396,-38.1396,0,1.45,0.12,-0.12,0,Mass,0.057,,,1,3821,153,-147,0,2193,22,-22,0,0,<a refstr=HARTMAN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...55H/abstract target=ref>Hartman et al. 2019</a>,,6594,33,-33,0,1.441,0.026,-0.026,0,1.435,0.021,-0.021,0,0.332,0.052,-0.052,0,[Fe/H],4.278,0.015,-0.015,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h00m50.11s,180.2087883,-46d08m11.11s,-46.1364201,960.109,24.025,-22.9,13.698,0.114,-0.114,12.327,0.026,-0.026,13.5596,0.000208,-0.000208,12-07-2024,2019-02,12-07-2024,0,HATS-67_1.6091788
HD 213519,1,1,1,Radial Velocity,2022,Multiple Observatories,Published Confirmed,0,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,11.12214,0.00098,-0.00097,0,0.099,0.004,-0.004,0,,,,,,,,,9.2170238,2.86045566,-1.27131363,0,0.029,0.009,-0.004,0,Msini,0.413,0.172,-0.144,0,,,,,,,,,0,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,,,,,,0.921,,,,1.05,0.133,-0.133,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h31m05.47s,337.7727845,+45d08m42.89s,45.1452472,41.0014,0.0567,-0.0565,7.68,0.03,-0.03,6.14,0.018,-0.018,7.51625,0.000187,-0.000187,14-06-2023,2022-09,14-06-2023,1,HD 213519_11.12214
HD 200964,1,1,2,Radial Velocity,2010,Lick Observatory,Published Confirmed,0,<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>,852.5,7.1,-7.1,0,1.96,0.1,-0.1,0,,,,,,,,,385.84562,22.88376,-22.88376,0,1.214,0.072,-0.072,0,Msini,0.243,0.047,-0.047,0,,,,,,,,,0,<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>,,4982,,,0,4.92,,,0,1.39,,,0,,,,,,3.22,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,21h06m39.94s,316.6664183,+03d48m12.01s,3.8033357,72.5922,0.24155,-0.24155,6.48605,0.023,-0.023,4.286,0.015,-0.015,6.23723,0.000654,-0.000654,03-12-2018,2019-04,06-12-2018,1,HD 200964_852.5
KMT-2023-BLG-2209L,1,1,1,Microlensing,2025,KMTNet,Published Confirmed,0,<a refstr=HAN_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....169..288H/abstract target=ref>Han et al. 2025</a>,,,,,3.51,0.95,-1.12,0,,,,,,,,,254.2627256,120.7747947,-120.7747947,0,0.8,0.38,-0.38,0,Mass,,,,,,,,,,,,,0,<a refstr=HAN_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....169..288H/abstract target=ref>Han et al. 2025</a>,,,,,,0.921,,,,0.73,0.35,-0.35,0,,,,,,,,,,<a refstr=HAN_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....169..288H/abstract target=ref>Han et al. 2025</a>,17h55m58.61s,268.9942083,-29d18m20.41s,-29.3056694,5570,1510,-1770,,,,,,,,,,02-06-2025,2025-06,02-06-2025,0,KMT-2023-BLG-2209L_nan
HD 207897,1,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>,16.20166,1.60E-05,-1.60E-05,0,0.117,0.002,-0.002,0,2.34302132,0.123646,-0.09173373,0,0.20903072,0.01103098,-0.00818395,0,14.8,1.5,-1.4,0,0.04656601,0.00471953,-0.00440489,0,Mass,0,,,0,,,,,581.75,14.65,-12.55,0,0,<a refstr=MACDOUGALL_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166...33M/abstract target=ref>MacDougall et al. 2023</a>,,5106,67,-63,0,0.7827,0.0329,-0.0264,0,0.8208,0.0226,-0.0253,0,-0.03,0.06,-0.059,0,[Fe/H],4.562,0.03,-0.043,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,21h40m48.39s,325.2016451,+84d20m01.54s,84.3337613,28.2938,0.0312,-0.0312,8.37,0.03,-0.03,6.312,0.026,-0.026,8.13037,0.000357,-0.000357,22-07-2024,2024-06,22-07-2024,0,HD 207897_16.20166
HD 196885 A,1,2,1,Radial Velocity,2007,Haute-Provence Observatory,Published Confirmed,0,<a refstr=FISCHER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJ...703.1545F/abstract target=ref> Fischer et al. 2009 </a>,1333,15,-15,0,2.37,0.02,-0.02,0,,,,,,,,,819.97,50.85,-50.85,0,2.58,0.16,-0.16,0,Msini,0.48,0.06,-0.06,0,,,,,,,,,0,<a refstr=FISCHER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJ...703.1545F/abstract target=ref> Fischer et al. 2009 </a>,,6254,44,-44,0,1.31,0.05,-0.05,0,1.28,0.05,-0.05,0,0.22,0.04,-0.04,0,[Fe/H],4.31,0.1,-0.1,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h39m51.95s,309.9664609,+11d15m00.08s,11.2500236,34.1692,0.0573,-0.057,6.39677,0.023,-0.023,5.072,0.018,-0.018,6.26141,0.0004207,-0.0004207,21-08-2014,2009-10,21-08-2014,1,HD 196885 A_1333.0
GJ 143,1,1,2,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=DRAGOMIR_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...875L...7D/abstract target=ref>Dragomir et al. 2019</a>,7.78993,0.00051,-0.00044,0,0.0695,0.0021,-0.0023,0,0.892,0.064,-0.058,0,0.07957891,0.0057097,-0.00517441,0,3.7,,,1,0.01164144,,,1,Mass,,,,,,,,,701,25,-23,0,0,<a refstr=DRAGOMIR_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...875L...7D/abstract target=ref>Dragomir et al. 2019</a>,K4.5,4640,100,-100,0,0.695,0.03,-0.03,0,0.73,0.07,-0.07,0,0.003,0.06,-0.06,0,[Fe/H],4.613,0.052,-0.061,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h27m00.05s,51.7501882,-63d30m00.60s,-63.500166,16.32,0.0071,-0.0071,8.08,0.03,-0.03,5.375,0.024,-0.024,7.67906,0.00026,-0.00026,22-04-2019,2019-04,25-04-2019,0,GJ 143_7.78993
b Cen A,1,2,1,Imaging,2021,Paranal Observatory,Published Confirmed,0,<a refstr=JANSON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021Natur.600..231J/abstract target=ref>Janson et al. 2021</a>,10000,830000,-830000,0,556,17,-17,0,,,,,,,,,3464.329636,508.5254512,-508.5254512,0,10.9,1.6,-1.6,0,Mass,0.4,,,1,,,,,,,,,0,<a refstr=JANSON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021Natur.600..231J/abstract target=ref>Janson et al. 2021</a>,B2.5 V,,,,,0.921,,,,5.5,0.5,-0.5,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14h41m57.55s,220.4897992,-37d47m37.08s,-37.7936323,98.0935,6.7875,-5.9734,4.01,0.03,-0.03,4.487,0.026,-0.026,4.01093,0.0089181,-0.0089181,24-01-2022,2021-12,24-01-2022,0,b Cen A_10000.0
